4559390.3	AU_01_R1	2,376,248,160	21,602,256	perio
4559386.3	AU_02_R1	2,677,885,320	24,344,412	perio
4559388.3	AU_05_R1	2,946,520,170	26,786,547	perio
4559395.3	AU_07_R1	2,317,973,790	21,072,489	healthy
4559398.3	AU_08_R1	2,746,070,800	24,964,280	perio
4559401.3	AU_09_R1	1,980,714,560	18,006,496	healthy
4559404.3	AU_10_R1	1,851,187,690	16,828,979	healthy
4559407.3	AU_11_R1	2,283,242,170	20,756,747	perio
4559410.3	AU_12_R1	1,292,905,130	11,753,683	healthy
4559413.3	AU_13_R1	2,757,043,630	25,064,033	perio
4559416.3	AU_14_R1	2,031,347,560	18,466,796	healthy
4559419.3	AU_15_R1	2,140,197,840	19,456,344	healthy
4559422.3	AU_16_R1	2,467,708,980	22,433,718	healthy
4559425.3	AU_17_R1	2,505,400,810	22,776,371	healthy
4559428.3	AU_18_R1	2,149,364,690	19,539,679	healthy
4559431.3	AU_19_R1	2,115,592,380	19,232,658	healthy
4559391.3	AU_01_R2	2,376,248,160	21,602,256	perio
4559387.3	AU_02_R2	2,677,885,320	24,344,412	perio
4559389.3	AU_05_R2	2,946,520,170	26,786,547	perio
4559396.3	AU_07_R2	2,317,973,790	21,072,489	healthy
4559399.3	AU_08_R2	2,746,070,800	24,964,280	perio
4559402.3	AU_09_R2	1,980,714,560	18,006,496	healthy
4559405.3	AU_10_R2	1,851,187,690	16,828,979	healthy
4559408.3	AU_11_R2	2,283,242,170	20,756,747	perio
4559411.3	AU_12_R2	1,292,905,130	11,753,683	healthy
4559414.3	AU_13_R2	2,757,043,630	25,064,033	perio
4559417.3	AU_14_R2	2,031,347,560	18,466,796	healthy
4559420.3	AU_15_R2	2,140,197,840	19,456,344	healthy
4559423.3	AU_16_R2	2,467,708,980	22,433,718	healthy
4559426.3	AU_17_R2	2,505,400,810	22,776,371	healthy
4559429.3	AU_18_R2	2,149,364,690	19,539,679	healthy
4559432.3	AU_19_R2	2,115,592,380	19,232,658	healthy
